Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive2.00,2.00,0.00,0.00,2.00,0.00,0.00,0.02,1.00,1.00,0.98
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
100.00,100.00,16.00,24.00,60.00,0.16,0.24,0.60,0.84,0.76,0.40
5.00,5.00,0.00,2.00,3.00,0.00,0.02,0.03,1.00,0.98,0.97
70.00,70.00,18.00,7.00,45.00,0.18,0.07,0.45,0.82,0.93,0.55
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
4.00,4.00,0.00,0.00,4.00,0.00,0.00,0.04,1.00,1.00,0.96
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
12.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
11.00,3.00,0.00,1.00,2.00,0.00,0.01,0.02,1.00,0.99,0.98
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
12.00,3.00,0.00,1.00,2.00,0.00,0.01,0.02,1.00,0.99,0.98
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
9.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
15.00,2.00,0.00,1.00,1.00,0.00,0.01,0.01,1.00,0.99,0.99
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
