Total Number of Peeps,Number of Rolls,Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
3000.00,1000.00,542.00,41.00,9.00,14.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,522.00,28.00,4.00,11.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,591.00,41.00,7.00,17.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,501.00,39.00,4.00,13.00,22.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,466.00,26.00,6.00,6.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,427.00,24.00,6.00,8.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,514.00,46.00,7.00,17.00,22.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,474.00,33.00,1.00,10.00,22.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,517.00,30.00,6.00,9.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,526.00,39.00,8.00,14.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,556.00,35.00,3.00,13.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,466.00,41.00,9.00,19.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,745.00,50.00,7.00,22.00,21.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,611.00,52.00,11.00,21.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,454.00,30.00,5.00,8.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,607.00,38.00,7.00,14.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,482.00,39.00,8.00,11.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,441.00,37.00,7.00,12.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,581.00,39.00,2.00,23.00,14.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,455.00,26.00,6.00,9.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,741.00,49.00,11.00,14.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,504.00,29.00,4.00,12.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,417.00,26.00,5.00,9.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,567.00,52.00,8.00,19.00,25.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,619.00,43.00,10.00,15.00,18.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,551.00,44.00,6.00,15.00,23.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,465.00,26.00,2.00,9.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,592.00,40.00,11.00,16.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,671.00,39.00,8.00,12.00,19.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,430.00,32.00,6.00,12.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,526.00,44.00,8.00,18.00,18.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,489.00,31.00,8.00,10.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,503.00,27.00,4.00,11.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,623.00,36.00,11.00,10.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,662.00,38.00,8.00,15.00,15.00,0.01,0.01,0.01,0.99,0.98,0.98
3000.00,1000.00,494.00,20.00,3.00,5.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,476.00,33.00,4.00,12.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,536.00,35.00,4.00,11.00,20.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,464.00,30.00,8.00,7.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,493.00,28.00,7.00,6.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,558.00,32.00,8.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,543.00,36.00,7.00,18.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,376.00,19.00,3.00,10.00,6.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,372.00,30.00,10.00,11.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,541.00,28.00,7.00,10.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,575.00,42.00,7.00,21.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,566.00,41.00,5.00,19.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,477.00,28.00,10.00,9.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,583.00,50.00,14.00,16.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,488.00,44.00,12.00,16.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,548.00,37.00,3.00,13.00,21.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,471.00,30.00,5.00,13.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,400.00,25.00,5.00,9.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,520.00,38.00,6.00,19.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,550.00,44.00,8.00,14.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,590.00,39.00,7.00,18.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,537.00,32.00,8.00,15.00,9.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,523.00,30.00,4.00,11.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,568.00,36.00,5.00,14.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,409.00,24.00,7.00,9.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,483.00,31.00,3.00,13.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,405.00,32.00,6.00,9.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,498.00,34.00,8.00,9.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,691.00,29.00,4.00,11.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,521.00,30.00,6.00,10.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,509.00,39.00,3.00,27.00,9.00,0.00,0.03,0.01,1.00,0.97,0.99
3000.00,1000.00,574.00,30.00,6.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,564.00,26.00,7.00,6.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,614.00,28.00,5.00,14.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,586.00,35.00,4.00,12.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,366.00,21.00,5.00,11.00,5.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,442.00,23.00,5.00,10.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,586.00,31.00,4.00,8.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,509.00,23.00,3.00,10.00,10.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,598.00,39.00,7.00,21.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,454.00,22.00,1.00,13.00,8.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,536.00,38.00,7.00,17.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,737.00,51.00,4.00,19.00,28.00,0.00,0.02,0.03,1.00,0.98,0.97
3000.00,1000.00,503.00,26.00,0.00,9.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,499.00,21.00,3.00,9.00,9.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,535.00,35.00,6.00,16.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,545.00,30.00,4.00,13.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,620.00,45.00,13.00,16.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,418.00,24.00,6.00,8.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,617.00,44.00,8.00,19.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,649.00,37.00,4.00,14.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,477.00,31.00,5.00,13.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,484.00,30.00,4.00,10.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,503.00,37.00,11.00,10.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,559.00,37.00,5.00,17.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,480.00,32.00,7.00,11.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,522.00,27.00,6.00,7.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,539.00,32.00,4.00,13.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,601.00,30.00,2.00,15.00,13.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,400.00,19.00,3.00,3.00,13.00,0.00,0.00,0.01,1.00,1.00,0.99
3000.00,1000.00,558.00,33.00,3.00,13.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,506.00,36.00,6.00,16.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,533.00,34.00,4.00,12.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,618.00,40.00,3.00,16.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,476.00,28.00,3.00,10.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,476.00,30.00,7.00,13.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,604.00,46.00,9.00,18.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,626.00,45.00,6.00,14.00,25.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,600.00,40.00,5.00,18.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,619.00,37.00,7.00,14.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,523.00,42.00,9.00,13.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,469.00,28.00,3.00,13.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,548.00,39.00,6.00,12.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,560.00,48.00,7.00,25.00,16.00,0.01,0.03,0.02,0.99,0.97,0.98
3000.00,1000.00,650.00,35.00,5.00,14.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,511.00,32.00,7.00,9.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,475.00,41.00,7.00,19.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,519.00,30.00,5.00,10.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,590.00,33.00,3.00,14.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,729.00,48.00,2.00,21.00,25.00,0.00,0.02,0.03,1.00,0.98,0.97
3000.00,1000.00,592.00,40.00,7.00,11.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,697.00,52.00,12.00,13.00,27.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,784.00,44.00,6.00,17.00,21.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,503.00,26.00,4.00,13.00,9.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,478.00,30.00,6.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,638.00,28.00,5.00,10.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,611.00,43.00,8.00,12.00,23.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,457.00,24.00,8.00,5.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,485.00,32.00,10.00,11.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,494.00,29.00,5.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,456.00,27.00,2.00,14.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,564.00,40.00,3.00,17.00,20.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,472.00,31.00,6.00,12.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,591.00,32.00,8.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,638.00,54.00,9.00,19.00,26.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,665.00,37.00,10.00,11.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,615.00,40.00,6.00,13.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,545.00,36.00,5.00,13.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,565.00,50.00,13.00,21.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,505.00,26.00,4.00,8.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,510.00,32.00,6.00,13.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,523.00,32.00,4.00,12.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,456.00,37.00,4.00,16.00,17.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,488.00,33.00,3.00,18.00,12.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,696.00,44.00,4.00,19.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,545.00,46.00,6.00,17.00,23.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,461.00,25.00,5.00,11.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,518.00,35.00,4.00,15.00,16.00,0.00,0.01,0.02,1.00,0.98,0.98
3000.00,1000.00,409.00,28.00,4.00,14.00,10.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,392.00,25.00,2.00,11.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,495.00,31.00,4.00,11.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,480.00,26.00,6.00,10.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,404.00,24.00,3.00,11.00,10.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,583.00,33.00,2.00,12.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,596.00,37.00,5.00,12.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,497.00,43.00,2.00,18.00,23.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,538.00,37.00,6.00,14.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,468.00,25.00,3.00,14.00,8.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,598.00,39.00,3.00,13.00,23.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,640.00,39.00,2.00,15.00,22.00,0.00,0.01,0.02,1.00,0.98,0.98
3000.00,1000.00,485.00,33.00,9.00,13.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,606.00,41.00,5.00,12.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,731.00,47.00,11.00,12.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,415.00,18.00,3.00,6.00,9.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,671.00,43.00,3.00,19.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,584.00,43.00,8.00,16.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,606.00,48.00,10.00,13.00,25.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,537.00,34.00,4.00,13.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,721.00,49.00,7.00,19.00,23.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,507.00,30.00,2.00,12.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,517.00,35.00,6.00,14.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,525.00,22.00,5.00,5.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,520.00,27.00,5.00,12.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,496.00,21.00,8.00,5.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,549.00,47.00,5.00,23.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,671.00,39.00,7.00,10.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,482.00,29.00,14.00,4.00,11.00,0.01,0.00,0.01,0.99,1.00,0.99
3000.00,1000.00,533.00,24.00,6.00,9.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,797.00,56.00,6.00,27.00,23.00,0.01,0.03,0.02,0.99,0.97,0.98
3000.00,1000.00,739.00,45.00,9.00,11.00,25.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,592.00,41.00,7.00,17.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,429.00,27.00,2.00,15.00,10.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,563.00,36.00,8.00,14.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,606.00,37.00,10.00,11.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,619.00,35.00,8.00,9.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,575.00,39.00,6.00,13.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,756.00,54.00,13.00,22.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,560.00,33.00,6.00,8.00,19.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,449.00,24.00,4.00,8.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,596.00,31.00,2.00,15.00,14.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,507.00,36.00,8.00,13.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,567.00,44.00,7.00,16.00,21.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,499.00,31.00,7.00,13.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,367.00,30.00,3.00,15.00,12.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,707.00,59.00,15.00,19.00,25.00,0.01,0.02,0.03,0.98,0.98,0.97
3000.00,1000.00,570.00,47.00,2.00,23.00,22.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,452.00,22.00,3.00,8.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,549.00,45.00,7.00,20.00,18.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,654.00,47.00,10.00,15.00,22.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,608.00,37.00,5.00,17.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,555.00,35.00,6.00,13.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,370.00,28.00,1.00,13.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,560.00,43.00,4.00,18.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,756.00,41.00,5.00,17.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,556.00,29.00,6.00,10.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,642.00,42.00,6.00,14.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,487.00,24.00,2.00,10.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,441.00,23.00,6.00,9.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,474.00,29.00,3.00,7.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,514.00,29.00,5.00,10.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,545.00,38.00,4.00,18.00,16.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,422.00,16.00,2.00,9.00,5.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,624.00,34.00,5.00,11.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,477.00,22.00,3.00,10.00,9.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,469.00,26.00,6.00,7.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,543.00,34.00,4.00,12.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,581.00,34.00,9.00,8.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,435.00,22.00,4.00,10.00,8.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,602.00,29.00,5.00,15.00,9.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,558.00,38.00,3.00,19.00,16.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,561.00,40.00,5.00,16.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,511.00,41.00,9.00,17.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,549.00,36.00,9.00,15.00,12.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,511.00,36.00,6.00,17.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,656.00,42.00,9.00,15.00,18.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,475.00,28.00,7.00,6.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,511.00,28.00,4.00,15.00,9.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,683.00,42.00,4.00,17.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,502.00,33.00,8.00,14.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,565.00,39.00,7.00,15.00,17.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,609.00,48.00,7.00,14.00,27.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,544.00,33.00,3.00,13.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,477.00,22.00,4.00,7.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,487.00,37.00,7.00,13.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,402.00,24.00,5.00,8.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,568.00,35.00,5.00,16.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,570.00,36.00,5.00,17.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,577.00,35.00,2.00,14.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,533.00,30.00,3.00,11.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,500.00,30.00,5.00,9.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,606.00,41.00,4.00,17.00,20.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,559.00,36.00,8.00,15.00,13.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,491.00,34.00,4.00,14.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,556.00,28.00,4.00,9.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,518.00,30.00,7.00,14.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,501.00,32.00,3.00,15.00,14.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,618.00,31.00,4.00,9.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,517.00,34.00,3.00,14.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,574.00,40.00,7.00,12.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,411.00,16.00,1.00,3.00,12.00,0.00,0.00,0.01,1.00,1.00,0.99
3000.00,1000.00,507.00,36.00,10.00,17.00,9.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,556.00,46.00,3.00,18.00,25.00,0.00,0.02,0.03,1.00,0.98,0.97
3000.00,1000.00,435.00,25.00,5.00,10.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,567.00,32.00,7.00,8.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,580.00,32.00,6.00,12.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,492.00,43.00,5.00,18.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,540.00,31.00,3.00,16.00,12.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,607.00,45.00,7.00,18.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,503.00,29.00,7.00,10.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
