Total Number of Peeps,Number of Rolls,Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
3000.00,1000.00,534.00,40.00,8.00,16.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,580.00,30.00,5.00,9.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,674.00,39.00,4.00,14.00,21.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,462.00,28.00,4.00,13.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,512.00,29.00,8.00,12.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,623.00,34.00,9.00,8.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,678.00,36.00,4.00,13.00,19.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,451.00,37.00,5.00,18.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,571.00,43.00,13.00,15.00,15.00,0.01,0.01,0.01,0.99,0.98,0.98
3000.00,1000.00,668.00,37.00,7.00,15.00,15.00,0.01,0.01,0.01,0.99,0.98,0.98
3000.00,1000.00,645.00,33.00,7.00,9.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,742.00,55.00,7.00,22.00,26.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,444.00,36.00,5.00,17.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,531.00,43.00,11.00,19.00,13.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,534.00,34.00,5.00,14.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,622.00,37.00,10.00,18.00,9.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,552.00,31.00,8.00,13.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,516.00,29.00,3.00,12.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,618.00,42.00,5.00,20.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,620.00,36.00,5.00,13.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,743.00,61.00,11.00,22.00,28.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,502.00,31.00,7.00,7.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,365.00,30.00,4.00,8.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,555.00,36.00,6.00,16.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,665.00,36.00,4.00,12.00,20.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,544.00,38.00,4.00,17.00,17.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,561.00,40.00,4.00,18.00,18.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,623.00,43.00,5.00,17.00,21.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,496.00,29.00,7.00,12.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,533.00,39.00,10.00,12.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,654.00,34.00,4.00,12.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,458.00,32.00,9.00,13.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,619.00,42.00,7.00,14.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,613.00,44.00,5.00,13.00,26.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,638.00,44.00,11.00,16.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,530.00,30.00,2.00,15.00,13.00,0.00,0.01,0.01,1.00,0.98,0.99
3000.00,1000.00,591.00,38.00,9.00,12.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,495.00,28.00,2.00,8.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,583.00,36.00,3.00,12.00,21.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,732.00,54.00,6.00,21.00,27.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,420.00,25.00,4.00,8.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,480.00,24.00,4.00,8.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,522.00,38.00,6.00,8.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,588.00,44.00,5.00,20.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,655.00,54.00,8.00,24.00,22.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,535.00,34.00,3.00,14.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,602.00,31.00,3.00,12.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,513.00,32.00,5.00,14.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,674.00,43.00,3.00,18.00,22.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,796.00,61.00,15.00,26.00,20.00,0.01,0.03,0.02,0.98,0.97,0.98
3000.00,1000.00,708.00,50.00,6.00,21.00,23.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,667.00,46.00,4.00,21.00,21.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,520.00,27.00,1.00,10.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,639.00,54.00,9.00,15.00,30.00,0.01,0.01,0.03,0.99,0.98,0.97
3000.00,1000.00,524.00,38.00,5.00,16.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,453.00,25.00,6.00,7.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,479.00,27.00,4.00,16.00,7.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,565.00,21.00,0.00,8.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,617.00,39.00,7.00,16.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,399.00,18.00,7.00,5.00,6.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,527.00,41.00,2.00,21.00,18.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,550.00,46.00,7.00,19.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,575.00,32.00,6.00,9.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,475.00,36.00,3.00,19.00,14.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,567.00,39.00,5.00,14.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,609.00,51.00,13.00,18.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,488.00,30.00,5.00,11.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,484.00,25.00,2.00,11.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,620.00,37.00,2.00,13.00,22.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,514.00,30.00,4.00,11.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,353.00,19.00,3.00,9.00,7.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,377.00,21.00,8.00,7.00,6.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,584.00,44.00,12.00,12.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,478.00,23.00,7.00,6.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,511.00,31.00,6.00,10.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,521.00,25.00,7.00,10.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,618.00,37.00,7.00,7.00,23.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,618.00,34.00,3.00,13.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,556.00,34.00,8.00,12.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,527.00,35.00,5.00,15.00,15.00,0.01,0.01,0.01,0.99,0.98,0.98
3000.00,1000.00,566.00,29.00,5.00,16.00,8.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,603.00,26.00,3.00,10.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,482.00,33.00,4.00,16.00,13.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,523.00,38.00,5.00,22.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,531.00,34.00,3.00,15.00,16.00,0.00,0.01,0.02,1.00,0.98,0.98
3000.00,1000.00,610.00,43.00,14.00,14.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,508.00,38.00,7.00,12.00,19.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,394.00,23.00,4.00,12.00,7.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,624.00,40.00,8.00,20.00,12.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,386.00,23.00,7.00,9.00,7.00,0.01,0.01,0.01,0.99,0.99,0.99
